0,1,2,3,4
亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
股市,指數,漲跌,比例,當地
紐西蘭,12499.36,-52.57,-0.42%,18:00
澳洲股市,7485.20,-139.10,-1.82%,18:16
日經225,28010.93,-953.15,-3.29%,14:59
東證一部,1899.45,-47.11,-2.42%,15:00
東證二部,7504.36,-91.82,-1.21%,15:00
JASDAQ,182.86,-2.38,-1.28%,15:00
韓國股市,3240.79,-27.14,-0.83%,18:01
台灣加權,17062.98,-255.56,-1.48%,13:49
台灣50,13390.73,-296.41,-2.17%,06/21
台灣店頭,207.75,-2.16,-1.03%,13:49
上海綜合,3529.18,4.09,0.12%,15:59
上海A股,3699.21,4.30,0.12%,15:59
上海B股,250.70,-0.38,-0.15%,15:59
深圳A股,2507.35,18.44,0.74%,16:29
深圳B股,1163.26,-1.64,-0.14%,16:29
滬深300,5090.39,-12.08,-0.24%,15:59
深證成指,14641.29,57.63,0.40%,16:29
中小板指,9475.82,62.71,0.67%,16:29
創業板指,3270.58,31.35,0.97%,16:29
香港恆生,28478.00,-275.00,-0.96%,15:59
香港國企,10547.86,-98.53,-0.93%,16:08
香港紅籌,4018.21,-29.96,-0.74%,16:08
恆生科技,7901.52,70.85,0.90%,06/17
香港創業板,102.86,-0.08,-0.08%,16:23
新加坡,3117.87,-26.29,-0.84%,17:20
菲律賓,6827.17,-24.21,-0.35%,12:50
馬來西亞,1572.24,-16.81,-1.06%,17:05
越南股市,1372.63,-5.14,-0.37%,15:00
泰國股市,1601.13,-11.85,-0.73%,16:44
印尼股市,5996.25,-10.87,-0.18%,15:15
印度股市,52574.46,230.01,0.44%,17:34
